"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"6,2";"6,4";"5,9";"73,0";"77,0";"73,0";"1,8";"2,4";"1,7";"999,1";"999,1";"996,4";"0,7";"142,0";"3,1";"";"0,0"
"01/06/2022";"0100";"6,8";"6,9";"6,2";"70,0";"73,0";"70,0";"1,7";"2,1";"1,7";"1003,5";"1003,5";"999,1";"1,6";"127,0";"4,3";"";"0,0"
"01/06/2022";"0200";"6,5";"6,9";"6,3";"73,0";"73,0";"70,0";"2,0";"2,0";"1,6";"1005,6";"1005,6";"1003,5";"2,0";"120,0";"5,7";"";"0,0"
"01/06/2022";"0300";"5,2";"6,5";"5,1";"80,0";"80,0";"73,0";"2,1";"2,2";"1,9";"1004,3";"1006,0";"1004,3";"1,3";"146,0";"5,7";"";"0,0"
"01/06/2022";"0400";"5,6";"5,6";"4,9";"78,0";"82,0";"78,0";"2,0";"2,3";"2,0";"1003,8";"1004,4";"1003,4";"2,2";"117,0";"4,3";"";"0,0"
"01/06/2022";"0500";"4,7";"5,8";"4,6";"81,0";"81,0";"76,0";"1,6";"2,0";"1,5";"1004,5";"1005,2";"1003,8";"1,2";"133,0";"5,0";"";"0,0"
"01/06/2022";"0600";"3,6";"4,7";"3,6";"85,0";"85,0";"81,0";"1,4";"1,8";"1,1";"1002,3";"1004,6";"1002,3";"1,1";"166,0";"3,0";"";"0,0"
"01/06/2022";"0700";"2,3";"3,6";"2,0";"94,0";"94,0";"85,0";"1,4";"1,4";"0,9";"1001,0";"1002,5";"1000,9";"1,4";"181,0";"2,4";"";"0,0"
"01/06/2022";"0800";"3,4";"3,4";"2,1";"92,0";"94,0";"92,0";"2,3";"2,3";"1,1";"1002,6";"1002,6";"1001,0";"1,5";"119,0";"3,3";"";"0,0"
"01/06/2022";"0900";"3,7";"4,4";"3,4";"85,0";"92,0";"82,0";"1,4";"2,4";"1,1";"1005,6";"1005,6";"1002,6";"1,2";"132,0";"4,9";"";"0,0"
"01/06/2022";"1000";"3,2";"3,7";"2,8";"87,0";"89,0";"85,0";"1,3";"1,7";"0,9";"1004,7";"1005,9";"1004,6";"1,2";"148,0";"3,5";"";"0,0"
"01/06/2022";"1100";"4,0";"4,0";"3,0";"84,0";"88,0";"84,0";"1,5";"1,7";"1,1";"1006,0";"1006,0";"1004,7";"1,8";"118,0";"5,3";"34,90";"0,0"
"01/06/2022";"1200";"5,7";"5,7";"3,9";"79,0";"84,0";"78,0";"2,2";"2,2";"1,5";"1011,7";"1011,7";"1006,0";"1,8";"127,0";"6,4";"426,40";"0,0"
"01/06/2022";"1300";"8,2";"8,2";"5,7";"67,0";"79,0";"67,0";"2,5";"2,9";"2,1";"1016,5";"1016,5";"1011,7";"2,7";"123,0";"5,8";"1102,50";"0,0"
"01/06/2022";"1400";"10,1";"10,1";"8,2";"63,0";"68,0";"61,0";"3,2";"3,4";"2,3";"1017,7";"1017,7";"1016,5";"2,8";"120,0";"8,2";"1833,60";"0,0"
"01/06/2022";"1500";"11,1";"11,4";"10,0";"57,0";"64,0";"55,0";"2,7";"3,9";"2,3";"1016,2";"1018,0";"1016,2";"3,5";"118,0";"7,8";"2219,00";"0,0"
"01/06/2022";"1600";"12,1";"12,5";"11,0";"53,0";"58,0";"50,0";"2,8";"3,6";"1,9";"1014,2";"1016,5";"1014,2";"3,0";"124,0";"7,7";"2373,40";"0,0"
"01/06/2022";"1700";"12,8";"13,0";"11,9";"50,0";"54,0";"48,0";"2,7";"3,5";"1,4";"1010,6";"1014,2";"1010,6";"3,3";"126,0";"8,6";"2314,20";"0,0"
"01/06/2022";"1800";"13,4";"13,5";"12,6";"48,0";"54,0";"46,0";"2,7";"4,2";"2,2";"1008,2";"1010,6";"1008,2";"2,4";"137,0";"7,9";"2025,10";"0,0"
"01/06/2022";"1900";"13,3";"13,6";"13,2";"48,0";"50,0";"45,0";"2,5";"3,3";"1,7";"1005,5";"1008,4";"1005,5";"2,4";"122,0";"7,4";"1514,00";"0,0"
"01/06/2022";"2000";"12,3";"13,5";"12,3";"53,0";"54,0";"46,0";"3,0";"3,3";"1,7";"1001,6";"1005,7";"1001,6";"1,5";"143,0";"6,5";"787,10";"0,0"
"01/06/2022";"2100";"10,5";"12,3";"10,5";"61,0";"61,0";"52,0";"3,3";"3,3";"2,3";"996,2";"1001,6";"996,2";"1,9";"154,0";"5,8";"65,90";"0,0"
"01/06/2022";"2200";"8,6";"10,5";"8,6";"71,0";"71,0";"61,0";"3,7";"3,7";"3,0";"995,4";"996,2";"995,3";"2,1";"166,0";"5,4";"";"0,0"
"01/06/2022";"2300";"7,3";"8,6";"7,3";"74,0";"74,0";"71,0";"2,9";"3,7";"2,9";"996,4";"996,4";"995,4";"1,7";"172,0";"4,9";"";"0,0"
"02/06/2022";"0000";"7,4";"7,7";"7,1";"71,0";"74,0";"71,0";"2,4";"3,0";"2,4";"999,4";"999,4";"996,4";"1,5";"154,0";"5,1";"";"0,0"
"02/06/2022";"0100";"7,2";"7,8";"7,2";"70,0";"71,0";"68,0";"2,2";"2,5";"2,1";"1002,5";"1002,5";"999,4";"1,4";"139,0";"4,7";"";"0,0"
"02/06/2022";"0200";"7,1";"7,6";"6,9";"71,0";"72,0";"69,0";"2,3";"2,3";"2,1";"1003,7";"1003,7";"1002,5";"1,7";"142,0";"5,7";"";"0,0"
"02/06/2022";"0300";"6,5";"7,3";"6,5";"74,0";"74,0";"70,0";"2,2";"2,3";"2,1";"1003,9";"1004,1";"1003,7";"1,8";"160,0";"5,5";"";"0,0"
"02/06/2022";"0400";"5,9";"6,5";"5,9";"77,0";"78,0";"74,0";"2,2";"2,4";"2,1";"1003,3";"1004,1";"1003,3";"1,0";"166,0";"4,8";"";"0,0"
"02/06/2022";"0500";"6,7";"7,0";"5,9";"74,0";"78,0";"72,0";"2,3";"2,6";"2,2";"1006,2";"1006,2";"1003,3";"1,4";"157,0";"5,8";"";"0,0"
"02/06/2022";"0600";"6,6";"6,8";"6,4";"75,0";"75,0";"74,0";"2,4";"2,5";"2,3";"1005,9";"1006,6";"1005,8";"1,3";"156,0";"4,5";"";"0,0"
"02/06/2022";"0700";"6,7";"6,9";"6,4";"74,0";"75,0";"73,0";"2,3";"2,4";"2,3";"1006,0";"1006,1";"1005,6";"2,2";"117,0";"4,0";"";"0,0"
"02/06/2022";"0800";"6,3";"6,7";"6,3";"77,0";"77,0";"74,0";"2,5";"2,5";"2,3";"1005,8";"1006,3";"1005,7";"2,0";"116,0";"4,6";"";"0,0"
"02/06/2022";"0900";"5,9";"6,4";"5,9";"78,0";"78,0";"76,0";"2,4";"2,6";"2,3";"1005,2";"1006,2";"1005,2";"1,3";"142,0";"4,4";"";"0,0"
"02/06/2022";"1000";"5,3";"5,9";"5,3";"80,0";"80,0";"78,0";"2,1";"2,4";"2,0";"1003,7";"1005,3";"1003,6";"1,9";"162,0";"4,4";"";"0,0"
"02/06/2022";"1100";"4,6";"5,3";"4,4";"84,0";"84,0";"80,0";"2,1";"2,2";"1,9";"1003,1";"1003,9";"1003,0";"1,7";"167,0";"3,9";"22,30";"0,0"
"02/06/2022";"1200";"6,9";"6,9";"4,6";"75,0";"84,0";"74,0";"2,7";"2,7";"2,1";"1009,1";"1009,1";"1003,1";"2,0";"165,0";"4,6";"300,20";"0,0"
"02/06/2022";"1300";"9,3";"9,3";"6,9";"64,0";"75,0";"62,0";"2,8";"3,3";"2,0";"1016,5";"1016,5";"1009,1";"2,1";"124,0";"6,0";"973,40";"0,0"
"02/06/2022";"1400";"10,4";"10,7";"9,1";"55,0";"64,0";"55,0";"1,9";"2,8";"1,6";"1018,2";"1018,2";"1016,5";"2,9";"130,0";"7,7";"1498,80";"0,0"
