"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/06/2022";"1000";"22,4";"22,4";"21,2";"";"";"";"";"";"";"953,0";"953,0";"952,5";"2,1";"84,0";"";"151,10";"0,0"
"01/06/2022";"1100";"24,3";"24,3";"22,4";"";"";"";"";"";"";"953,8";"953,8";"953,0";"4,4";"97,0";"8,4";"899,90";"0,0"
"01/06/2022";"1200";"25,5";"26,1";"24,1";"";"";"";"";"";"";"954,3";"954,4";"953,8";"4,1";"105,0";"10,0";"1650,60";"0,0"
"01/06/2022";"1300";"27,7";"27,7";"24,9";"";"";"";"";"";"";"954,2";"954,6";"954,2";"4,2";"103,0";"7,6";"2196,10";"0,0"
"01/06/2022";"1400";"28,3";"28,7";"26,2";"";"";"";"";"";"";"954,0";"954,3";"954,0";"4,2";"87,0";"8,5";"1935,60";"0,0"
"01/06/2022";"1500";"29,0";"29,9";"27,7";"";"";"";"";"";"";"953,4";"954,1";"953,4";"4,7";"99,0";"9,5";"2870,70";"0,0"
"01/06/2022";"1600";"30,5";"30,7";"29,0";"";"";"";"";"";"";"952,6";"953,4";"952,5";"4,3";"106,0";"8,7";"3159,10";"0,0"
"01/06/2022";"1700";"30,7";"31,4";"29,2";"";"";"";"";"";"";"951,7";"952,6";"951,7";"3,9";"102,0";"9,5";"2719,90";"0,0"
"01/06/2022";"1800";"31,1";"31,8";"29,5";"";"";"";"";"";"";"950,9";"951,7";"950,9";"4,2";"122,0";"7,8";"2289,50";"0,0"
"01/06/2022";"1900";"30,5";"31,3";"30,1";"";"";"";"";"";"";"950,4";"950,9";"950,4";"2,6";"94,0";"7,1";"1612,20";"0,0"
"01/06/2022";"2000";"29,9";"30,9";"29,9";"";"";"";"";"";"";"950,2";"950,4";"950,1";"2,4";"94,0";"5,7";"771,50";"0,0"
"01/06/2022";"2100";"27,2";"29,9";"27,2";"";"";"";"";"";"";"950,6";"950,6";"950,2";"0,3";"78,0";"5,5";"72,30";"0,0"
"01/06/2022";"2200";"25,5";"27,2";"25,5";"";"";"";"";"";"";"951,1";"951,1";"950,5";"0,0";"80,0";"3,7";"";"0,0"
