"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"22/12/2021";"0000";"20,7";"26,2";"18,8";"89,0";"94,0";"54,0";"18,9";"18,9";"16,0";"922,1";"922,4";"919,7";"2,8";"89,0";"14,8";"";"11,2"
"22/12/2021";"0100";"20,7";"21,4";"20,3";"86,0";"90,0";"83,0";"18,3";"19,0";"18,1";"921,9";"922,2";"921,9";"3,1";"73,0";"7,9";"1,40";"0,0"
"22/12/2021";"0200";"19,6";"20,7";"19,5";"90,0";"91,0";"86,0";"17,9";"18,3";"17,9";"922,4";"922,4";"921,8";"3,4";"44,0";"5,1";"";"0,0"
"22/12/2021";"0300";"19,3";"19,8";"19,3";"92,0";"92,0";"88,0";"18,0";"18,2";"17,8";"922,3";"922,6";"922,3";"4,0";"71,0";"6,9";"";"0,0"
"22/12/2021";"0400";"19,2";"19,5";"19,0";"94,0";"94,0";"92,0";"18,2";"18,4";"17,9";"922,1";"922,8";"922,1";"1,9";"80,0";"5,3";"";"0,4"
"22/12/2021";"0500";"18,8";"19,2";"18,8";"95,0";"96,0";"94,0";"18,0";"18,3";"18,0";"922,0";"922,3";"922,0";"2,1";"51,0";"3,3";"";"0,0"
"22/12/2021";"0600";"18,8";"19,0";"18,7";"95,0";"96,0";"94,0";"18,0";"18,2";"17,8";"921,8";"923,0";"921,8";"0,4";"328,0";"5,9";"";"0,0"
"22/12/2021";"0700";"18,7";"18,9";"18,6";"95,0";"96,0";"95,0";"18,0";"18,1";"17,9";"922,0";"922,6";"921,4";"2,0";"10,0";"7,4";"";"0,6"
"22/12/2021";"0800";"18,4";"18,7";"18,4";"97,0";"97,0";"95,0";"17,9";"18,1";"17,8";"921,3";"922,0";"921,3";"2,3";"64,0";"4,8";"";"0,2"
"22/12/2021";"0900";"18,4";"18,4";"18,2";"97,0";"97,0";"97,0";"18,0";"18,0";"17,8";"921,5";"921,5";"921,1";"2,4";"64,0";"3,7";"136,40";"0,0"
"22/12/2021";"1000";"20,7";"20,7";"18,4";"93,0";"98,0";"93,0";"19,5";"19,5";"18,0";"921,8";"921,9";"921,5";"2,1";"74,0";"3,5";"875,80";"0,0"
"22/12/2021";"1100";"23,0";"23,1";"20,6";"82,0";"93,0";"82,0";"19,8";"20,4";"19,1";"922,2";"922,2";"921,7";"0,7";"63,0";"3,3";"1768,30";"0,0"
