"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"26,3";"26,3";"25,8";"91,0";"95,0";"91,0";"24,7";"24,9";"24,4";"1005,8";"1006,0";"1005,6";"2,0";"123,0";"4,3";"0,90";"0,0"
"01/06/2022";"0100";"25,6";"26,3";"25,4";"94,0";"94,0";"90,0";"24,5";"24,8";"24,0";"1005,6";"1005,8";"1005,5";"1,4";"147,0";"7,5";"";"0,0"
"01/06/2022";"0200";"26,0";"26,3";"25,6";"91,0";"94,0";"91,0";"24,3";"24,9";"24,3";"1005,4";"1005,6";"1005,3";"2,1";"137,0";"4,8";"";"0,0"
"01/06/2022";"0300";"24,4";"26,0";"24,4";"93,0";"93,0";"90,0";"23,2";"24,5";"23,2";"1005,1";"1005,4";"1005,0";"3,3";"121,0";"7,7";"";"0,0"
"01/06/2022";"0400";"24,6";"24,6";"24,1";"95,0";"95,0";"93,0";"23,9";"23,9";"22,9";"1004,4";"1005,1";"1004,4";"1,8";"194,0";"7,7";"";"0,0"
"01/06/2022";"0500";"24,4";"24,7";"24,4";"96,0";"96,0";"95,0";"23,8";"24,0";"23,7";"1004,2";"1004,5";"1004,1";"2,6";"223,0";"4,4";"0,20";"0,0"
"01/06/2022";"0600";"24,4";"24,6";"24,3";"96,0";"97,0";"96,0";"23,6";"24,0";"23,6";"1004,0";"1004,2";"1003,9";"2,4";"157,0";"5,8";"0,10";"0,0"
"01/06/2022";"0700";"25,2";"25,2";"24,3";"93,0";"96,0";"93,0";"24,0";"24,0";"23,4";"1004,1";"1004,3";"1003,8";"2,9";"152,0";"5,8";"";"0,0"
"01/06/2022";"0800";"24,8";"25,3";"24,6";"95,0";"95,0";"93,0";"24,0";"24,0";"23,7";"1004,6";"1004,6";"1004,1";"1,4";"169,0";"5,3";"";"0,0"
"01/06/2022";"0900";"24,8";"24,9";"24,7";"96,0";"96,0";"95,0";"24,1";"24,1";"23,9";"1005,2";"1005,2";"1004,6";"1,8";"196,0";"4,6";"86,90";"0,0"
"01/06/2022";"1000";"25,4";"25,4";"24,7";"95,0";"96,0";"95,0";"24,5";"24,7";"24,0";"1005,8";"1005,8";"1005,2";"1,7";"209,0";"3,8";"443,00";"0,0"
"01/06/2022";"1100";"26,3";"27,2";"25,2";"89,0";"96,0";"86,0";"24,3";"25,3";"23,8";"1006,2";"1006,2";"1005,8";"2,4";"175,0";"4,6";"1293,80";"0,0"
"01/06/2022";"1200";"24,7";"26,8";"24,7";"91,0";"93,0";"89,0";"23,0";"25,5";"23,0";"1006,8";"1006,8";"1006,1";"3,6";"155,0";"10,1";"1013,90";"0,0"
"01/06/2022";"1300";"27,2";"28,2";"24,3";"82,0";"94,0";"82,0";"24,0";"25,7";"22,8";"1006,4";"1006,8";"1006,3";"3,8";"137,0";"10,2";"2283,00";"0,0"
"01/06/2022";"1400";"27,5";"28,5";"27,2";"83,0";"87,0";"79,0";"24,3";"25,3";"23,8";"1005,9";"1006,4";"1005,9";"4,5";"136,0";"8,1";"2937,40";"0,0"
"01/06/2022";"1500";"27,7";"28,3";"27,3";"85,0";"87,0";"82,0";"25,0";"25,5";"24,4";"1005,2";"1005,9";"1005,2";"5,3";"142,0";"9,3";"1835,60";"0,0"
"01/06/2022";"1600";"26,9";"28,0";"26,0";"88,0";"93,0";"85,0";"24,8";"25,3";"24,2";"1004,7";"1005,2";"1004,7";"3,6";"143,0";"10,2";"1234,40";"0,0"
"01/06/2022";"1700";"28,0";"28,6";"26,9";"83,0";"88,0";"80,0";"24,9";"25,7";"24,5";"1003,9";"1004,7";"1003,9";"4,9";"138,0";"8,5";"2073,20";"0,0"
"01/06/2022";"1800";"27,3";"28,0";"26,6";"84,0";"85,0";"81,0";"24,4";"25,1";"23,3";"1003,9";"1004,0";"1003,8";"4,0";"152,0";"8,7";"964,90";"0,0"
"01/06/2022";"1900";"27,5";"27,8";"27,3";"81,0";"85,0";"80,0";"23,9";"24,7";"23,9";"1003,8";"1003,9";"1003,8";"4,2";"143,0";"7,8";"472,40";"0,0"
"01/06/2022";"2000";"26,9";"27,5";"26,9";"87,0";"87,0";"81,0";"24,6";"24,6";"23,9";"1004,1";"1004,1";"1003,8";"2,9";"162,0";"7,4";"162,60";"0,0"
"01/06/2022";"2100";"26,1";"26,9";"26,1";"90,0";"90,0";"87,0";"24,3";"24,6";"24,3";"1004,7";"1004,7";"1004,1";"3,3";"171,0";"6,7";"";"0,0"
"01/06/2022";"2200";"25,6";"26,1";"25,6";"86,0";"90,0";"85,0";"23,1";"24,3";"23,0";"1005,2";"1005,2";"1004,7";"3,5";"171,0";"6,7";"";"0,0"
"01/06/2022";"2300";"25,3";"25,6";"25,3";"90,0";"90,0";"86,0";"23,6";"23,6";"23,0";"1005,6";"1005,7";"1005,2";"2,8";"165,0";"5,8";"";"0,0"
"02/06/2022";"0000";"25,0";"25,3";"25,0";"92,0";"92,0";"90,0";"23,5";"23,6";"23,5";"1005,9";"1005,9";"1005,5";"2,3";"178,0";"4,5";"";"0,0"
"02/06/2022";"0100";"25,0";"25,0";"24,8";"91,0";"92,0";"91,0";"23,5";"23,5";"23,3";"1005,8";"1005,9";"1005,6";"2,1";"187,0";"5,0";"";"0,0"
"02/06/2022";"0200";"24,1";"25,0";"23,5";"97,0";"97,0";"90,0";"23,5";"23,5";"22,4";"1005,7";"1006,3";"1005,7";"0,4";"307,0";"9,5";"";"0,0"
"02/06/2022";"0300";"23,7";"24,1";"23,6";"98,0";"98,0";"97,0";"23,3";"23,6";"23,1";"1005,8";"1006,0";"1005,6";"3,2";"142,0";"8,8";"";"0,0"
"02/06/2022";"0400";"23,9";"23,9";"23,4";"98,0";"98,0";"98,0";"23,5";"23,5";"23,0";"1004,8";"1005,8";"1004,7";"2,0";"179,0";"6,0";"0,10";"0,0"
