"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"21,5";"22,2";"21,2";"93,0";"95,0";"90,0";"20,3";"20,6";"20,2";"988,1";"988,1";"987,5";"0,6";"48,0";"1,2";"";"0,0"
"01/06/2022";"0100";"21,2";"21,6";"20,4";"96,0";"98,0";"92,0";"20,6";"20,6";"19,9";"988,7";"988,7";"988,1";"0,6";"68,0";"0,8";"";"0,0"
"01/06/2022";"0200";"21,0";"21,3";"20,4";"98,0";"99,0";"95,0";"20,6";"20,7";"19,8";"988,7";"988,8";"988,7";"0,5";"62,0";"0,9";"";"0,0"
"01/06/2022";"0300";"20,1";"21,0";"20,0";"99,0";"100,0";"97,0";"20,0";"20,7";"19,6";"988,7";"988,8";"988,7";"0,3";"358,0";"1,2";"";"0,0"
"01/06/2022";"0400";"19,9";"20,6";"19,3";"100,0";"100,0";"98,0";"19,9";"20,5";"19,2";"988,5";"988,7";"988,5";"0,4";"47,0";"1,2";"";"0,0"
"01/06/2022";"0500";"19,3";"20,1";"19,2";"100,0";"100,0";"98,0";"19,3";"20,1";"19,1";"987,8";"988,5";"987,8";"0,3";"39,0";"1,2";"";"0,0"
"01/06/2022";"0600";"19,0";"19,3";"18,8";"100,0";"100,0";"100,0";"18,9";"19,3";"18,8";"987,5";"987,9";"987,5";"0,6";"343,0";"0,9";"";"0,0"
"01/06/2022";"0700";"18,8";"19,4";"18,3";"100,0";"100,0";"100,0";"18,8";"19,4";"18,3";"987,8";"987,8";"987,4";"0,2";"345,0";"1,2";"";"0,0"
"01/06/2022";"0800";"19,1";"19,2";"18,2";"100,0";"100,0";"100,0";"19,1";"19,2";"18,2";"988,3";"988,3";"987,8";"0,8";"10,0";"1,1";"";"0,0"
"01/06/2022";"0900";"18,4";"19,2";"18,1";"100,0";"100,0";"100,0";"18,3";"19,2";"18,1";"989,1";"989,1";"988,3";"0,4";"214,0";"1,1";"";"0,0"
"01/06/2022";"1000";"19,7";"19,7";"18,3";"100,0";"100,0";"100,0";"19,7";"19,7";"18,3";"989,7";"989,7";"989,1";"1,0";"91,0";"1,8";"39,10";"0,0"
"01/06/2022";"1100";"23,0";"23,0";"19,7";"90,0";"100,0";"89,0";"21,2";"22,1";"19,7";"990,4";"990,5";"989,7";"0,6";"115,0";"2,2";"332,40";"0,0"
"01/06/2022";"1200";"28,1";"28,1";"23,0";"66,0";"93,0";"64,0";"21,1";"22,2";"20,7";"991,2";"991,2";"990,4";"1,7";"41,0";"3,9";"1156,40";"0,0"
"01/06/2022";"1300";"30,1";"30,1";"28,1";"63,0";"67,0";"63,0";"22,2";"22,3";"20,8";"991,1";"991,3";"991,1";"2,8";"22,0";"5,1";"1783,50";"0,0"
"01/06/2022";"1400";"31,5";"31,7";"29,6";"60,0";"65,0";"59,0";"22,9";"23,3";"21,7";"990,7";"991,1";"990,7";"2,1";"357,0";"5,2";"2468,80";"0,0"
"01/06/2022";"1500";"32,6";"33,0";"31,6";"57,0";"62,0";"55,0";"22,9";"23,8";"22,4";"990,0";"990,7";"990,0";"2,9";"25,0";"6,4";"2890,30";"0,0"
"01/06/2022";"1600";"33,5";"34,3";"32,2";"55,0";"58,0";"52,0";"23,4";"23,7";"22,3";"989,2";"990,0";"989,2";"1,8";"32,0";"6,3";"2858,00";"0,0"
"01/06/2022";"1700";"34,2";"34,3";"32,7";"53,0";"56,0";"50,0";"23,3";"23,8";"21,7";"988,2";"989,2";"988,2";"2,4";"17,0";"7,0";"2654,50";"0,0"
"01/06/2022";"1800";"34,0";"34,4";"31,9";"49,0";"59,0";"49,0";"21,9";"23,8";"21,9";"987,6";"988,2";"987,6";"2,2";"18,0";"5,6";"1857,50";"0,0"
"01/06/2022";"1900";"33,3";"34,4";"32,2";"53,0";"59,0";"49,0";"22,5";"23,6";"21,8";"986,9";"987,6";"986,9";"1,4";"37,0";"4,9";"1290,00";"0,0"
"01/06/2022";"2000";"31,8";"33,7";"31,8";"58,0";"58,0";"50,0";"22,6";"24,1";"21,7";"986,9";"986,9";"986,8";"1,3";"40,0";"3,0";"784,40";"0,0"
"01/06/2022";"2100";"27,2";"31,8";"27,2";"81,0";"83,0";"58,0";"23,7";"25,2";"22,6";"987,3";"987,3";"986,9";"0,6";"56,0";"2,2";"85,50";"0,0"
"01/06/2022";"2200";"24,9";"27,6";"24,9";"92,0";"92,0";"76,0";"23,4";"24,3";"22,9";"987,7";"987,7";"987,2";"0,4";"43,0";"3,1";"0,10";"0,0"
"01/06/2022";"2300";"23,7";"24,9";"23,6";"95,0";"96,0";"92,0";"22,9";"23,5";"22,7";"988,2";"988,2";"987,7";"0,5";"340,0";"0,9";"";"0,0"
"02/06/2022";"0000";"23,1";"23,8";"23,0";"97,0";"98,0";"94,0";"22,5";"22,9";"22,4";"989,2";"989,2";"988,2";"0,6";"27,0";"2,2";"";"0,0"
"02/06/2022";"0100";"22,5";"23,1";"22,5";"98,0";"98,0";"97,0";"22,1";"22,5";"22,1";"990,0";"990,0";"989,2";"0,5";"6,0";"1,0";"";"0,0"
"02/06/2022";"0200";"22,3";"22,5";"22,2";"100,0";"100,0";"98,0";"22,2";"22,4";"22,0";"990,1";"990,2";"990,0";"0,6";"343,0";"1,4";"";"0,0"
"02/06/2022";"0300";"21,8";"22,4";"21,4";"100,0";"100,0";"98,0";"21,8";"22,4";"21,2";"989,9";"990,1";"989,9";"0,4";"49,0";"1,3";"";"0,0"
"02/06/2022";"0400";"21,4";"22,1";"21,1";"100,0";"100,0";"99,0";"21,3";"22,1";"21,1";"989,6";"989,9";"989,6";"0,5";"322,0";"1,1";"";"0,0"
"02/06/2022";"0500";"21,2";"21,7";"21,2";"100,0";"100,0";"100,0";"21,2";"21,7";"21,2";"989,5";"989,7";"989,5";"0,3";"74,0";"0,9";"";"0,0"
"02/06/2022";"0600";"21,6";"22,0";"21,2";"100,0";"100,0";"100,0";"21,6";"22,0";"21,2";"989,2";"989,6";"989,1";"0,8";"14,0";"1,5";"";"0,0"
"02/06/2022";"0700";"23,8";"23,8";"21,6";"93,0";"100,0";"93,0";"22,6";"23,0";"21,7";"989,7";"989,7";"989,1";"2,6";"75,0";"4,9";"";"0,0"
"02/06/2022";"0800";"21,9";"23,9";"21,8";"99,0";"100,0";"93,0";"21,7";"23,3";"21,6";"990,3";"990,5";"989,7";"2,9";"2,0";"10,3";"0,70";"15,4"
