"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"23/12/2021";"0000";"21,7";"21,9";"20,9";"74,0";"75,0";"72,0";"16,7";"16,8";"16,1";"911,6";"911,6";"911,0";"3,8";"148,0";"6,3";"";"0,0"
"23/12/2021";"0100";"21,2";"21,7";"21,2";"72,0";"76,0";"72,0";"16,0";"16,8";"16,0";"912,3";"912,3";"911,6";"4,1";"151,0";"6,1";"";"0,0"
"23/12/2021";"0200";"20,5";"21,2";"20,5";"75,0";"76,0";"72,0";"15,9";"16,1";"15,9";"912,7";"912,8";"912,3";"4,6";"148,0";"6,9";"";"0,0"
"23/12/2021";"0300";"19,9";"20,5";"19,9";"75,0";"76,0";"74,0";"15,3";"15,9";"15,3";"912,7";"913,1";"912,6";"5,8";"140,0";"8,9";"";"0,0"
"23/12/2021";"0400";"18,9";"19,9";"18,9";"78,0";"78,0";"75,0";"15,0";"15,4";"14,9";"912,7";"913,0";"912,7";"5,7";"147,0";"9,3";"";"0,0"
"23/12/2021";"0500";"17,7";"18,9";"17,6";"75,0";"79,0";"75,0";"13,3";"14,9";"13,3";"912,3";"912,8";"912,3";"5,6";"143,0";"9,1";"";"0,0"
"23/12/2021";"0600";"16,0";"17,7";"16,0";"81,0";"81,0";"75,0";"12,8";"13,3";"12,8";"912,4";"912,4";"912,3";"2,1";"130,0";"8,7";"";"0,0"
"23/12/2021";"0700";"15,2";"16,1";"15,2";"84,0";"85,0";"81,0";"12,6";"12,8";"12,5";"912,3";"912,4";"912,2";"3,4";"141,0";"5,1";"";"0,0"
"23/12/2021";"0800";"14,8";"15,4";"14,8";"85,0";"85,0";"83,0";"12,2";"12,6";"12,1";"912,1";"912,3";"912,1";"3,9";"135,0";"7,0";"";"0,0"
"23/12/2021";"0900";"14,4";"14,8";"14,4";"87,0";"87,0";"84,0";"12,3";"12,3";"12,0";"912,2";"912,3";"912,1";"6,1";"134,0";"7,8";"27,70";"0,0"
